rp_c,LP_stage,HP_stage,pressure,temp,enthalpy,fi,cpa,tci_hp,t_clp_ex
30.0,1,0,1.1678053807815427,300.97057251521267,13.035768059292707,0.04438296584721859,1.005349580923189,317.70219450561285,486.014630037419
30.0,2,0,1.3456037566673151,314.37247699082,26.514413341508806,0.08832197420983082,1.006123622970145,317.70219450561285,486.014630037419
30.0,3,0,1.550471936295953,328.3711542408295,40.60526998801356,0.1323156318064854,1.007068845167956,317.70219450561285,486.014630037419
30.0,4,0,1.7865312974417278,342.99317793205967,55.33877687330332,0.1763742191475429,1.0082044595056465,317.70219450561285,486.014630037419
30.0,5,0,2.058530697668555,358.26630502888946,70.74729447969526,0.22050922880601886,1.009551468933239,317.70219450561285,486.014630037419
30.0,6,0,2.371942008131546,374.21952848426,86.8652780096425,0.26473349362838505,1.0111328155718378,317.70219450561285,486.014630037419
30.0,7,0,2.7330701924003917,390.8831322769511,103.72947069605667,0.30906132819072546,1.012973539423558,317.70219450561285,486.014630037419
30.0,8,0,3.1491801447842365,408.2887488996098,121.3791198815979,0.3535086848847103,1.0151009480782547,317.70219450561285,486.014630037419
30.0,9,0,3.6286428397922337,426.4694194066616,139.85621876081746,0.39809332616700843,1.0175447978933392,317.70219450561285,486.014630037419
30.0,10,0,4.181103732850309,445.4596561360911,159.20577703967365,0.44283501467162883,1.0203374870911466,317.70219450561285,486.014630037419
30.0,11,0,4.817676800028006,465.29550822415877,179.47612416904434,0.48775572306924997,1.0235142611729957,317.70219450561285,486.014630037419
30.0,12,0,5.551168120314859,486.014630037419,200.71924925638356,0.5328798657630274,1.0271134309875942,317.70219450561285,486.014630037419
30.0,0,1,5.440144757908562,317.70219450561285,29.86487263458313,0.09895594541983772,1.0063358202525967,317.70219450561285,486.014630037419
30.0,0,2,6.27896894919038,331.9442477757275,44.20409023960385,0.14325399677007414,1.0073323917912218,317.70219450561285,486.014630037419
30.0,0,3,7.247132717853243,346.82474826105397,59.202398881057206,0.1876206093558333,1.0085269816318054,317.70219450561285,486.014630037419
30.0,0,4,8.364579129978189,362.3723164728964,74.8933224347054,0.2320678354758199,1.00994149329872,317.70219450561285,486.014630037419
30.0,0,5,9.654326303326231,378.6168559317847,91.31258373547176,0.27660913902828943,1.011599861537715,317.70219450561285,486.014630037419
30.0,0,6,11.14294155423212,395.5896106826133,108.49831014654441,0.32125954544659485,1.0135282192023718,317.70219450561285,486.014630037419
30.0,0,7,12.86108865392855,413.32322538808603,126.49126356543448,0.3660358072536139,1.015755075710556,317.70219450561285,486.014630037419
30.0,0,8,14.844159467155007,431.8518081160493,145.33509799293324,0.4109565868849733,1.018311507561887,317.70219450561285,486.014630037419
30.0,0,9,17.133002984084072,451.21099594147506,165.0766481823056,0.45604265861088095,1.0212313613701214,317.70219450561285,486.014630037419
